"*Co-investigator /
Chercheur associé 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Co-investigator
Affiliation / 
Affiliation du chercheur associé
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Principal Investigator Contact Information / Coor-données de chercheur Principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Steward(s) / Intendant(s) des données,Minzhen Su,Minzhen Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Government Licence-Canada / Licence du gouver-nement ouvert – Canada ,http://open.canada.ca/en/open-government-licence-canada,http://ouvert.canada.ca/fr/licence-du-gouvernement-ouvert-canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attribution / 
Attribution
","Environment and Climate Change Canada, [Year Accessed].  Data File Name [Name of data file]. Downloaded on [Year-Month-Day] from [Name and URL of the data portal].","Environnement et Changement climatique Canada, [année de la consultation]. Nom du fichier de données [Nom du fichier de données], générée [année-mois-jour]. Téléchargé le [année-mois-jour] depuis [Nom et URL du portail de données].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acknowledgement statement / Énoncé de reconnaissance ,"The author(s) acknowledge Environment and Climate Change Canada and [if applicable, enter the names of any co-contributors, co-funding agencies, and/or collaborators] for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ","Le ou les auteur(s) reconnaissent Environnement et Changement climatique Canada et [s’il y a lieu, entrez les noms des contributeurs, des organismes de cofinancement ou des collaborateurs] pour la prestation du [type de] données consultées depuis [Nom et URL du portail de données]. [S’il y a lieu : les données/fichiers de données d’origine ont été modifiés, redistribués et/ou utilisés pour des travaux dérivés, à savoir : …précisez…].    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quality Assurance Level and Disclaimer / 
Niveau d’assurance de la qualité et avis de non-responsa-bilité
","Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.","Définition du niveau 1 : ensemble de données complet d’une qualité précisée, qui regroupe des produits de recherche soumis à des vérifications d’assurance et de contrôle de la qualité et à des procédures de gestion des données.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flag column pertain to the numerical value in the data column immediately to the right / Colonne du drapeau se rapportent à la valeur numérique dans les données de la colonne immédiatement à la droite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Sample Number / Numéro de l'échantillon sur le terrain,Project Name / Nom du projet,Station and Location Name / Nom du la station et lieu ,Station Number / Numéro de la station,Latitude (Decimal Degrees) / Latitude (degrés décimaux),Longitude (Decimal Degrees) / Longitude (degrés décimaux),Sample Date (yyyy-mm-dd hh:mm:ss ) / Date de l'échantillon(aaaa-mm-jj hh:mm:ss),Sample Type / Type d'échantillon,Matrix /  Matrice,Water Depth (m) / La profondeur de l’eau (m),Flag / Drapeau / Drapeau / Drapeau,ALUMINUM DISSOLVED (108712-L) (UG/L) / Aluminium dissous (108712-L) (UG/L),Flag / Drapeau,ANTIMONY DISSOLVED (108744-L) (UG/L) / Antimoine dissous (108744-L) (UG/L),Flag / Drapeau,ARSENIC DISSOLVED (108713-L) (UG/L) / Arsenic dissous (108713-L) (UG/L),Flag / Drapeau,BARIUM DISSOLVED (108715-L) (UG/L) / Baryum dissous (108715-L) (UG/L),Flag / Drapeau,BERYLLIUM DISSOLVED (108716-L) (UG/L) / Béryllium dissous (108716-L) (UG/L),Flag / Drapeau,BISMUTH DISSOLVED (108717-L) (UG/L) / Bismuth dissous (108717-L) (UG/L),Flag / Drapeau,BORON DISSOLVED (108714-L) (UG/L) / Bore dissous  (108714-L) (UG/L) ,Flag / Drapeau,CADMIUM DISSOLVED (108719-L) (UG/L) / Cadmium dissous (108719-L) (UG/L),Flag / Drapeau,CERIUM DISSOLVED (108720-L) (UG/L) / Cérium dissous (108720-L) (UG/L),Flag / Drapeau,CESIUM DISSOLVED (108723-L) (UG/L) / Césium dissous (108723-L) (UG/L),Flag / Drapeau,CHROMIUM DISSOLVED (108722-L) (UG/L) / Chrome dissous (108722-L) (UG/L),Flag / Drapeau,COBALT DISSOLVED (108721-L) (UG/L) / Cobalt dissous (108721-L) (UG/L),Flag / Drapeau,COPPER DISSOLVED (108724-L) (UG/L) / Cuivre dissous (108724-L) (UG/L),Flag / Drapeau,GALLIUM DISSOLVED (108726-L) (UG/L)  / Gallium dissous (108726-L) (UG/L) ,Flag / Drapeau,GERMANIUM DISSOLVED (108728-L) (UG/L) / Germanium dissous (108728-L) (UG/L),Flag / Drapeau,INDIUM DISSOLVED (108729-L) (UG/L) / Indium dissous (108729-L) (UG/L),Flag / Drapeau,IRON DISSOLVED (108725-L) (UG/L) / Fer dissous (108725-L) (UG/L),Flag / Drapeau,LANTHANUM DISSOLVED (108731-L) (UG/L) / Lanthane dissous (108731-L) (UG/L),Flag / Drapeau,LEAD DISSOLVED (108739-L) (UG/L) / Plomb dissous  (108739-L) (UG/L),Flag / Drapeau,LITHIUM DISSOLVED  (108732-L) (UG/L) / Lithium dissous (108732-L) (UG/L),Flag / Drapeau,MANGANESE DISSOLVED (108734-L) (UG/L) / Manganèse dissous (108734-L) (UG/L) ,Flag / Drapeau,MOLYBDENUM DISSOLVED (108735-L) (UG/L) / Molybdène dissous (108735-L) (UG/L),Flag / Drapeau,NICKEL DISSOLVED (108738-L) (UG/L) / Nickel  dissous (108738-L) (UG/L),Flag / Drapeau,NIOBIUM DISSOLVED (108737-L) (UG/L) / Niobium dissous (108737-L) (UG/L),Flag / Drapeau,PALLADIUM DISSOLVED (108740-L) (UG/L) / Palladium dissous (108740-L) (UG/L),Flag / Drapeau,PLATINUM DISSOLVED (108741-L) (UG/L) / Platine dissous  (108741-L) (UG/L),Flag / Drapeau,RUBIDIUM DISSOLVED (108742-L) (UG/L) / Rubidium dissous (108742-L) (UG/L),Flag / Drapeau,SCANDIUM DISSOLVED (108745-L) (UG/L) / Scandium dissous (108745-L) (UG/L),Flag / Drapeau,SELENIUM DISSOLVED (108746-L) (UG/L) / Sélénium dissous (108746-L) (UG/L),Flag / Drapeau,SILVER DISSOLVED  (108711-L) (UG/L) / Argent dissous (108711-L) (UG/L),Flag / Drapeau,STRONTIUM DISSOLVED (108748-L) (UG/L) / Strontium dissous (108748-L) (UG/L),Flag / Drapeau,TELLURIUM DISSOLVED (108749-L) (UG/L) / Tellurium dissous (108749-L) (UG/L) ,Flag / Drapeau,THALLIUM DISSOLVED (108751-L) (UG/L) / Thallium dissous (108751-L) (UG/L),Flag / Drapeau,TIN DISSOLVED (108747-L) (UG/L) / Étain dissous (108747-L) (UG/L) ,Flag / Drapeau,TITANIUM DISSOLVED (108750-L) (UG/L)  / Titane dissous (108750-L) (UG/L) ,Flag / Drapeau,TUNGSTEN DISSOLVED (108754-L) (UG/L) / Tungstène dissous (108754-L) (UG/L),Flag / Drapeau,URANIUM DISSOLVED (108752-L) (UG/L) / Uranium dissous (108752-L) (UG/L),Flag / Drapeau,VANADIUM DISSOLVED (108753-L) (UG/L) / Vanadium dissous (108753-L) (UG/L),Flag / Drapeau,YTTRIUM- DISSOLVED (108755-L) (UG/L) / Yttrium dissous (108755-L) (UG/L),Flag / Drapeau,ZINC DISSOLVED (108756-L) (UG/L) / Zinc dissous (108756-L) (UG/L),Flag / Drapeau,ZIRCONIUM DISSOLVED (108757-L) (UG/L) / Zirconium dissous (108757-L) (UG/L) ,Flag / Drapeau,ALUMINUM TOTAL (108665-L) (UG/L) / Aluminium total (108665-L) (UG/L),Flag / Drapeau,ANTIMONY TOTAL (108697-L) (UG/L) / Antimoine total (108697-L) (UG/L),Flag / Drapeau,ARSENIC TOTAL (108666-L) (UG/L) / Arsenic  total (108666-L) (UG/L),Flag / Drapeau,BARIUM TOTAL (108668-L) (UG/L) / Baryum total (108668-L) (UG/L),Flag / Drapeau,BERYLLIUM TOTAL (108669-L) (UG/L) / Béryllium total (108669-L) (UG/L),Flag / Drapeau,BISMUTH TOTAL (108670-L) (UG/L) / Bismuth total (108670-L) (UG/L),Flag / Drapeau,BORON TOTAL (1078667-L) (UG/L) / Bore  total (108667-L) (UG/L),Flag / Drapeau,CADMIUM TOTAL (108672-L) (UG/L) / Cadmium total (108672-L) (UG/L),Flag / Drapeau,CERIUM TOTAL (108673-L) (UG/L) / Cérium total (108673-L) (UG/L),Flag / Drapeau,CESIUM TOTAL (108676-L) (UG/L) / Césium total (108676-L) (UG/L),Flag / Drapeau,CHROMIUM TOTAL (108675-L) (UG/L) / Chrome total (108675-L) (UG/L),Flag / Drapeau,COBALT TOTAL (108674-L) (UG/L) / Cobalt total (108674-L) (UG/L),Flag / Drapeau,COPPER TOTAL (108677-L) (UG/L) / Cuivre total (108677-L) (UG/L),Flag / Drapeau,GALLIUM TOTAL (108679-L) (UG/L) / Gallium total (108679-L) (UG/L),Flag / Drapeau,GERMANIUM TOTAL (108681-L) (UG/L) / Germanium total (108681-L) (UG/L),Flag / Drapeau,INDIUM TOTAL (108682-L) (UG/L) / Indium  total (108682-L) (UG/L),Flag / Drapeau,IRON TOTAL (108678-L) (UG/L) / Fer total (108678-L) (UG/L),Flag / Drapeau,LANTHANUM TOTAL (108684-L) (UG/L) / Lanthane total (108684-L) (UG/L),Flag / Drapeau,LEAD TOTAL (108692-L) (UG/L) / Plomb total (108692-L) (UG/L),Flag / Drapeau,LITHIUM TOTAL (108685-L) (UG/L) / Lithium total (108685-L) (UG/L),Flag / Drapeau,MANGANESE TOTAL (108687-L) (UG/L) / Manganèse total (108687-L) (UG/L),Flag / Drapeau,MOLYBDENUM TOTAL (108688-L) (UG/L) / Molybdène total (108688-L) (UG/L),Flag / Drapeau,NICKEL TOTAL (108691-L) (UG/L) / Nickel  total (108691-L) (UG/L),Flag / Drapeau,NIOBIUM TOTAL (108690-L) (UG/L) / Niobium total (108690-L) (UG/L),Flag / Drapeau,PALLADIUM TOTAL (108693-L) (UG/L) / Palladium total (108693-L) (UG/L),Flag / Drapeau,PLATINUM TOTAL (108694-L) (UG/L) / Platine total (108694-L) (UG/L),Flag / Drapeau,RUBIDIUM TOTAL (108695-L) (UG/L) / Rubidium total (108695-L) (UG/L),Flag / Drapeau,SCANDIUM TOTAL (108698-L) (UG/L) / Scandium total (108698-L) (UG/L),Flag / Drapeau,SELENIUM TOTAL (108699-L) (UG/L) / Sélénium total (108699-L) (UG/L),Flag / Drapeau,SILVER TOTAL (108664-L) (UG/L) / Argent total (108664-L) (UG/L),Flag / Drapeau,STRONTIUM TOTAL (108701-L) (UG/L) / Strontium total (108701-L) (UG/L),Flag / Drapeau,TELLURIUM TOTAL (108702-L) (UG/L) / Tellurium total (108702-L) (UG/L) /,Flag / Drapeau,THALLIUM TOTAL (108704-L) (UG/L) / Thallium total (108704-L) (UG/L),Flag / Drapeau,TIN TOTAL (108700-L) (UG/L) / Étain total (108700-L) (UG/L),Flag / Drapeau,TITANIUM TOTAL (108703-L) (UG/L) / Titane total (108703-L) (UG/L),Flag / Drapeau,TUNGSTEN TOTAL (108707-L) (UG/L) / Tungstène total (108707-L) (UG/L),Flag / Drapeau,URANIUM TOTAL (108705-L) (UG/L) / Uranium total (108705-L) (UG/L),Flag / Drapeau,VANADIUM TOTAL (108706-L) (UG/L) / Vanadium total (108706-L) (UG/L),Flag / Drapeau,YTTRIUM TOTAL (108708-L) (UG/L) / Yttrium total (108708-L) (UG/L),Flag / Drapeau,ZINC TOTAL (108709-L) (UG/L) / Zinc total (108709-L) (UG/L),Flag / Drapeau,ZIRCONIUM TOTAL (108710-L) (UG/L) / Zirconium total (108710-L) (UG/L)
2011PN200001,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.60403,2011-10-27 11:56,VERTICAL INTEGRATED,WATER,0.27,,2.7,,0.054,,0.41,,55.9,,0.003,L,0.001,,31.8,,0.044,,0.015,,0.002,,0.04,,0.098,,0.6,,0.003,,0.01,L,0.001,,33.2,,0.009,,0.016,,8.63,,17.1,,0.751,,0.93,,0.001,L,0.005,L,0.001,,0.833,,0.01,,0.14,L,0.001,,272,L,0.01,,0.004,,0.008,,0.2,,0.002,,0.423,,0.141,,0.033,,0.6,,0.1,,75.3,,0.054,,0.58,,56.2,,0.007,,0.002,,27.3,,0.016,,0.198,,0.015,,0.17,,0.151,,0.54,,0.006,L,0.01,L,0.001,,367,,0.094,,0.094,,7.86,,32.6,,0.748,,1.05,,0.005,L,0.005,L,0.001,,0.997,,0.02,,0.13,,0.002,,259,L,0.01,,0.004,,0.008,,1.3,,0.002,,0.411,,0.376,,0.121,,0.6,,0.1
2011PN200002,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.60361,2011-10-27 12:10,VERTICAL INTEGRATED,WATER,1.01,,4.6,,0.053,,0.46,,56,,0.003,,0.001,,27.6,,0.027,,0.023,,0.002,,0.04,,0.097,,0.56,,0.004,L,0.01,L,0.001,,53.3,,0.015,,0.018,,8.35,,10.8,,0.751,,0.91,,0.001,L,0.005,L,0.001,,0.861,,0.01,,0.13,,0.001,,262,,0.01,,0.004,,0.005,,0.2,,0.002,,0.424,,0.156,,0.038,,0.6,,0.1,,107,,0.054,,0.61,,57.9,,0.008,,0.002,,26.1,,0.019,,0.261,,0.021,,0.2,,0.169,,0.58,,0.02,L,0.01,L,0.001,,381,,0.121,,0.127,,7.71,,29.7,,0.819,,1.05,,0.006,L,0.005,L,0.001,,1.06,,0.03,,0.14,,0.001,,261,L,0.01,,0.005,,0.01,,1.5,,0.002,,0.416,,0.492,,0.139,,0.7,,0.1
2011PN200003,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.60353,2011-10-27 12:48,VERTICAL INTEGRATED,WATER,1.58,,5.7,,0.052,,0.44,,55,,0.003,,0.001,,29.7,,0.033,,0.029,,0.002,,0.05,,0.092,,0.58,,0.004,,0.01,L,0.001,,59.3,,0.016,,0.033,,8.16,,7.87,,0.732,,0.92,,0.001,L,0.005,L,0.001,,0.791,L,0.01,,0.13,,0.001,,259,L,0.01,,0.004,L,0.005,,0.1,,0.002,,0.417,,0.16,,0.041,,0.6,,0.1,,99.2,,0.095,,0.62,,57.3,,0.008,,0.002,,27.1,,0.019,,0.257,,0.022,,0.19,,0.165,,0.68,,0.022,,0.01,L,0.001,,366,,0.119,,0.201,,7.81,,26.8,,0.758,,1.1,,0.006,L,0.005,L,0.001,,1.06,,0.03,,0.13,,0.001,,260,L,0.01,,0.005,,0.052,,1.5,,0.003,,0.42,,0.483,,0.138,,1.1,,0.1
2011PN200004,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.60308,2011-10-27 13:02,VERTICAL INTEGRATED,WATER,2.1,,4.7,,0.046,,0.44,,54.3,,0.003,,0.002,,26.6,RANGEH,0.147,,0.028,,0.002,,0.03,,0.093,,0.59,,0.004,L,0.01,L,0.001,,60,,0.015,,0.027,,8.06,,5.23,,0.753,,0.92,L,0.001,L,0.005,L,0.001,,0.854,,0.01,,0.13,,0.001,,255,L,0.01,,0.006,L,0.005,,0.3,,0.002,,0.397,,0.161,,0.041,,0.5,,0.1,,111,,0.05,,0.6,,57.1,,0.009,,0.002,,24.1,,0.017,,0.281,,0.024,,0.2,,0.169,,1.32,L,0.001,,0.01,L,0.001,,392,,0.131,,0.147,,7.89,,24,,0.758,,1.04,,0.008,L,0.005,L,0.001,,1.09,,0.03,,0.13,,0.003,,258,L,0.01,,0.006,,0.093,,2.1,,0.004,,0.417,,0.482,,0.151,,1.1,,0.2
2011PN200005,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.60242,2011-10-27 13:25,VERTICAL INTEGRATED,WATER,2.44,,5,,0.054,,0.46,,53.8,,0.002,,0.001,,27.5,,0.018,,0.026,,0.002,,0.05,,0.092,,0.59,,0.004,L,0.01,L,0.001,,62,,0.014,,0.024,,8.55,,4.77,,0.739,,0.9,,0.001,L,0.005,L,0.001,,0.845,L,0.01,,0.12,L,0.001,,258,L,0.01,,0.007,,0.007,,0.4,,0.001,,0.406,,0.153,,0.04,,0.5,,0.1,,110,,0.059,,0.63,,56.8,,0.008,,0.001,,27.6,,0.017,,0.262,,0.022,,0.27,,0.163,,0.82,,0.006,,0.01,L,0.001,,367,,0.124,,0.135,,8.09,,23.1,,0.771,,1.14,,0.005,L,0.005,L,0.001,,1.06,,0.03,,0.13,,0.002,,258,L,0.01,,0.005,,0.1,,1.8,,0.003,,0.41,,0.449,,0.143,,1.8,,0.1
2011PN200006,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 6 OF 10,AL07DD0004,57.12708333,-111.60206,2011-10-27 14:17,VERTICAL INTEGRATED,WATER,2.5,,4.5,,0.051,,0.47,,53.1,,0.003,,0.001,,26.8,,0.014,,0.026,,0.002,,0.04,,0.091,,0.59,,0.004,L,0.01,L,0.001,,67.1,,0.016,,0.022,,8.38,,5.05,,0.729,,0.84,,0.001,L,0.005,L,0.001,,0.834,L,0.01,,0.11,,0.001,,262,L,0.01,,0.006,,0.007,,0.3,,0.001,,0.405,,0.167,,0.041,,0.6,,0.1,,104,RANGEH,1.82,,0.62,,55.4,,0.008,L,0.001,,25.9,,0.019,,0.27,,0.022,,0.2,,0.165,,4.57,,0.004,,0.01,,0.001,,395,,0.13,,0.156,,8.04,,23.1,,0.749,,1.04,,0.006,L,0.005,L,0.001,,1.05,,0.04,,0.13,,0.002,,253,L,0.01,,0.005,L,0.005,,2,,0.003,,0.398,,0.489,,0.141,,4.7,,0.2
2011PN200007,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.60147,2011-10-27 14:42,TRIPLICATE SAMPLE,WATER,2.65,,3.4,,0.048,,0.43,,53,,0.002,L,0.001,,29.1,,0.017,,0.021,,0.002,,0.05,,0.086,,0.53,,0.003,L,0.01,L,0.001,,49.8,,0.012,,0.025,,8.54,,4.61,,0.724,,0.85,L,0.001,L,0.005,L,0.001,,0.834,L,0.01,,0.11,L,0.001,,258,L,0.01,,0.006,,0.006,,0.1,,0.002,,0.4,,0.152,,0.036,,0.4,,0.1,,111,,0.058,,0.63,,54.7,,0.009,,0.003,,25.2,,0.017,,0.293,,0.024,,0.23,,0.167,,0.77,L,0.001,L,0.01,L,0.001,,411,,0.137,,0.224,,7.95,,22.7,,0.695,,0.99,,0.008,L,0.005,L,0.001,,1.08,,0.03,,0.13,,0.004,,252,L,0.01,,0.006,L,0.005,,2.1,,0.004,,0.403,,0.452,,0.15,,1.2,,0.3
2011PN200008,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.60106,2011-10-27 15:19,VERTICAL INTEGRATED,WATER,2.77,,4.7,,0.048,,0.47,,51.3,,0.002,,0.002,,26.3,RANGEH,0.138,,0.028,,0.002,,0.04,,0.092,,0.67,,0.004,L,0.01,L,0.001,,69,,0.015,,0.046,,7.97,,5.02,,0.678,,0.89,,0.001,L,0.005,L,0.001,,0.836,,0.01,,0.11,,0.001,,249,L,0.01,,0.006,L,0.005,,0.5,,0.002,,0.388,,0.159,,0.04,,0.7,,0.1,,125,,0.055,,0.62,,54.7,,0.009,,0.002,,25.2,,0.016,,0.354,,0.025,,0.21,,0.18,,0.58,,0.032,,0.01,L,0.001,,421,,0.159,,0.197,,7.64,,23.8,,0.683,,1.04,,0.006,L,0.005,L,0.001,,1.09,,0.04,,0.12,,0.002,,251,L,0.01,,0.005,,0.016,,2.6,,0.003,,0.393,,0.511,,0.166,,1.2,,0.2
2011PN200009,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.60014,2011-10-27 15:34,VERTICAL INTEGRATED,WATER,3.05,,4.1,,0.048,,0.46,,52,,0.003,L,0.001,,27.6,,0.015,,0.022,,0.002,,0.04,,0.088,,0.57,,0.003,,0.01,L,0.001,,56.1,,0.013,,0.028,,8.59,,5.84,,0.675,,0.83,L,0.001,L,0.005,L,0.001,,0.848,,0.01,,0.1,,0.001,,255,L,0.01,,0.007,,0.006,,0.2,,0.002,,0.387,,0.149,,0.037,,0.5,,0.1,,178,,0.065,,0.64,,55.2,,0.012,,0.001,,27.7,,0.019,,0.365,,0.029,,0.3,,0.191,,0.84,,0.021,,0.01,L,0.001,,468,,0.171,,0.189,,8.23,,26,,0.699,,1.08,,0.008,L,0.005,L,0.001,,1.14,,0.04,,0.11,,0.002,,249,L,0.01,,0.005,,0.02,,2.6,,0.003,,0.39,,0.676,,0.18,,2.1,,0.2
2011PN200010,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.60003,2011-10-27 16:14,VERTICAL INTEGRATED,WATER,2.16,,5.4,,0.052,,0.45,,52,,0.003,,0.001,,28.8,,0.047,,0.03,,0.002,,0.05,,0.093,,0.52,,0.004,,0.01,L,0.001,,73.1,,0.017,,0.025,,8.2,,7.15,,0.662,,0.79,,0.002,L,0.005,L,0.001,,0.791,,0.01,,0.11,L,0.001,,247,L,0.01,,0.003,L,0.005,,0.4,,0.002,,0.39,,0.167,,0.044,,0.5,,0.1,,158,,0.051,,0.62,,54.7,,0.011,,0.003,,29.7,,0.015,,0.406,,0.031,,0.25,,0.203,,0.62,,0.044,L,0.01,L,0.001,,499,,0.187,,0.18,,8.01,,28.4,,0.666,,1.08,,0.008,L,0.005,L,0.001,,1.14,,0.05,,0.11,,0.002,,250,L,0.01,,0.006,,0.01,,2.9,,0.003,,0.39,,0.631,,0.2,,1,,0.2
2011PN200011,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.60147,2011-10-27 14:52,TRIPLICATE SAMPLE,WATER,,,5,,0.046,,0.45,,53.7,,0.003,,0.001,,27.3,,0.014,,0.037,,0.002,,0.05,,0.088,,0.56,,0.004,L,0.01,L,0.001,,72.1,,0.017,,0.034,,8.44,,4.59,,0.696,,0.83,,0.001,L,0.005,L,0.001,,0.839,L,0.01,,0.11,L,0.001,,258,L,0.01,,0.007,,0.006,,0.5,,0.002,,0.401,,0.16,,0.043,,0.4,,0.1,,124,,0.063,,0.61,,55.6,,0.011,,0.008,,27.8,,0.017,,0.304,,0.027,,0.26,,0.178,,8.29,L,0.001,,0.01,L,0.001,,464,,0.144,,0.243,,8.19,,23.4,,0.727,,1.08,,0.009,L,0.005,L,0.001,,1.1,,0.03,,0.12,,0.002,,251,L,0.01,,0.006,,0.027,,2.4,,0.004,,0.393,,0.536,,0.161,,2.1,,0.2
2011PN200012,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.60147,2011-10-27 15:02,TRIPLICATE SAMPLE,WATER,,,4.7,,0.05,,0.45,,53,,0.003,L,0.001,,28.1,,0.016,,0.029,,0.002,,0.04,,0.089,,0.53,,0.004,L,0.01,L,0.001,,71.5,,0.017,,0.032,,8.51,,4.4,,0.712,,0.86,,0.001,L,0.005,L,0.001,,0.835,L,0.01,,0.11,L,0.001,,257,L,0.01,,0.006,,0.006,,0.1,,0.002,,0.398,,0.156,,0.041,,0.5,,0.1,,114,,0.059,,0.61,,55.5,,0.009,,0.001,,27.1,,0.017,,0.282,,0.023,,0.88,,0.171,,0.91,L,0.001,,0.01,L,0.001,,405,,0.131,,0.186,,8.09,,23.2,,0.72,,1.27,,0.008,L,0.005,L,0.001,,1.08,,0.02,,0.12,,0.002,,250,L,0.01,,0.005,,0.02,,2.3,,0.005,,0.395,,0.561,,0.152,,2.3,,0.2
2011PN200013,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2011-10-27 17:00,EQUAL VOLUME TRANSECT COMPOSITE,WATER,,,3.4,,0.049,,0.44,,52.8,,0.002,,0.001,,28.2,,0.018,,0.021,,0.002,,0.05,,0.093,,0.58,,0.003,L,0.01,L,0.001,,50,,0.012,,0.032,,8.43,,7.13,,0.734,,0.89,,0.001,L,0.005,L,0.001,,0.763,L,0.01,,0.12,,0.001,,258,L,0.01,,0.006,,0.009,,0.3,,0.002,,0.397,,0.148,,0.036,,0.5,,0.1,,130,,0.093,,0.64,,56.6,,0.009,,0.001,,27.8,,0.026,,0.317,,0.028,,0.29,,0.199,,1.19,L,0.001,,0.01,L,0.001,,431,,0.151,,0.272,,8.24,,27.6,,0.768,,1.21,,0.007,L,0.005,,0.001,,1.08,,0.03,,0.13,,0.002,,258,L,0.01,,0.006,,0.024,,3.4,,0.003,,0.405,,0.609,,0.166,,4,,0.2
